"BehaviorSpace results (NetLogo 6.2.2)"
"PaleoCOOP_model.nlogo"
"Scenario3_alpha_TienShan"
"07/21/2024 13:15:28:371 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","533","0","327"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8","9","9","9","9","9","9","10","10","10","10","10","10","11","11","11","11","11","11","12","12","12","12","12","12","13","13","13","13","13","13","14","14","14","14","14","14","15","15","15","15","15","15","16","16","16","16","16","16","17","17","17","17","17","17","18","18","18","18","18","18","19","19","19","19","19","19","20","20","20","20","20","20","21","21","21","21","21","21","22","22","22","22","22","22","23","23","23","23","23","23","24","24","24","24","24","24","25","25","25","25","25","25","26","26","26","26","26","26","27","27","27","27","27","27"
"prob-nocoop","0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,,"0.001",,,,,
"alpha","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.5",,,,,,"0.5",,,,,,"0.5",,,,,,"0.5",,,,,,"0.5",,,,,,"0.5",,,,,,"0.5",,,,,,"0.5",,,,,,"0.5",,,,,,"0.8",,,,,,"0.8",,,,,,"0.8",,,,,,"0.8",,,,,,"0.8",,,,,,"0.8",,,,,,"0.8",,,,,,"0.8",,,,,,"0.8",,,,,
"cost-cooperation","10",,,,,,"10",,,,,,"10",,,,,,"20",,,,,,"20",,,,,,"20",,,,,,"50",,,,,,"50",,,,,,"50",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"20",,,,,,"20",,,,,,"20",,,,,,"50",,,,,,"50",,,,,,"50",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"20",,,,,,"20",,,,,,"20",,,,,,"50",,,,,,"50",,,,,,"50",,,,,
"seed","1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,,"1000",,,,,
"human-risk","5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,,"5",,,,,
"maxTimeSteps","1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,,"1200",,,,,
"nHominins","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"hominin-speed","0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,,"0.75",,,,,
"punishment-cooperation","7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,,"7",,,,,
